iter	Logloss
0	0.68937177
1	0.6856666516
2	0.6820415629
3	0.6790659858
4	0.6755781036
5	0.6725002154
6	0.6691119356
7	0.6657970165
8	0.6625497839
9	0.6593737781
10	0.6567677627
11	0.6537244031
12	0.6508472889
13	0.6478802156
14	0.646478702
15	0.6440623314
16	0.6412962943
17	0.6384794501
18	0.6357849676
19	0.6330471936
20	0.630776946
21	0.6281790093
22	0.6255340158
23	0.6230044841
24	0.6204347697
25	0.6179223588
26	0.6167007677
27	0.614251894
28	0.6118581026
29	0.6095155522
30	0.6074336221
31	0.6051553327
32	0.6031305303
33	0.60114863
34	0.5992087339
35	0.5982233499
36	0.5960458069
37	0.5942487689
38	0.5921528651
39	0.590103127
40	0.5884168254
41	0.5864446623
42	0.5845146169
43	0.5830926813
44	0.5812135584
45	0.5794140839
46	0.5783286659
47	0.5761914523
48	0.5744546698
49	0.572755473
50	0.5706980928
51	0.5686862431
52	0.5667152001
53	0.5656314463
54	0.5638924346
55	0.5629459912
56	0.5620020649
57	0.5610819325
58	0.5594084729
59	0.5575267738
60	0.5556849518
61	0.5546730162
62	0.5533103615
63	0.551729768
64	0.5504242362
65	0.5486534555
66	0.5469202222
67	0.5454379468
68	0.5439464684
69	0.5424867364
70	0.5417527096
71	0.5409133524
72	0.539257932
73	0.5384592109
74	0.5377599614
75	0.5361490906
76	0.5345726445
77	0.533777481
78	0.5322392118
79	0.5308795918
80	0.5293870277
81	0.5286258578
82	0.527287385
83	0.5259801226
84	0.5246777248
85	0.5234041005
86	0.5221379347
87	0.5208981488
88	0.5196846987
89	0.518681022
90	0.5173066293
91	0.5163389447
92	0.5151288398
93	0.5143760899
94	0.513611732
95	0.5135331467
96	0.5122174013
97	0.5109301546
98	0.5097693077
99	0.5096224116
100	0.5084950497
101	0.5073652317
102	0.5066032227
103	0.5060385642
104	0.5053738553
105	0.5044333591
106	0.503703725
107	0.5026345251
108	0.5017339366
109	0.5005297137
110	0.4998059597
111	0.4987546937
112	0.4975918035
113	0.4965829738
114	0.4955668899
115	0.4950273604
116	0.4939042773
117	0.4930655758
118	0.4919707755
119	0.4910185372
120	0.4899498197
121	0.4889037682
122	0.4879808636
123	0.4869604925
124	0.4864113931
125	0.4858736402
126	0.4853852896
127	0.4844992154
128	0.4840235954
129	0.4835146547
130	0.482591835
131	0.4822718108
132	0.4814179929
133	0.480519312
134	0.4796874392
135	0.4788733031
136	0.4779170674
137	0.4772263407
138	0.4767518787
139	0.4758204065
140	0.4749088139
141	0.474391569
142	0.4740579573
143	0.473170497
144	0.4727361567
145	0.4719777906
146	0.4715572433
147	0.4706967507
148	0.4698753247
149	0.4691423373
150	0.4684249467
151	0.4677233815
152	0.4668957952
153	0.4662993728
154	0.4659385127
155	0.4652621808
156	0.4644789493
157	0.4638978223
158	0.463473817
159	0.4629764465
160	0.4623322485
161	0.4617016325
162	0.4610840595
163	0.4603317421
164	0.459668127
165	0.4590681186
166	0.4586826227
167	0.4580367156
168	0.4574527969
169	0.4570987162
170	0.4566249573
171	0.4560018786
172	0.4553769196
173	0.4548127905
174	0.4544406404
175	0.4540056929
176	0.4536547345
177	0.4532074368
178	0.452858475
179	0.452317845
180	0.4520114949
181	0.4517490228
182	0.4512214369
183	0.4510084791
184	0.4502916295
185	0.4500392057
186	0.4493401612
187	0.4486597223
188	0.448200792
189	0.4475227344
190	0.4471913952
191	0.446747379
192	0.4462532255
193	0.4455947768
194	0.4454502221
195	0.4449691289
196	0.4445610188
197	0.4441360022
198	0.4438293097
199	0.4432679269
