"dates","Open","High","Low","Close","Volume","OpenInt","TotalOpenInt"
"2011-07-29",0,1290,1290,1290,0,3,527288
"2011-08-01",0,1292,1292,1292,0,3,518246
"2011-08-02",0,1300.5,1300.5,1300.5,0,3,515730
"2011-08-03",0,1298.5,1298.5,1298.5,0,3,512382
"2011-08-04",0,1278.5,1278.5,1278.5,0,3,506932
"2011-08-05",0,1267.5,1267.5,1267.5,0,3,509062
"2011-08-08",0,1247.5,1247.5,1247.5,0,3,506089
"2011-08-09",0,1234.75,1234.75,1234.75,0,3,499781
"2011-08-10",0,1238.75,1238.75,1238.75,0,3,499832
"2011-08-11",0,1252.5,1252.5,1252.5,0,3,504644
"2011-08-12",0,1255.5,1255.5,1255.5,0,3,514100
"2011-08-15",0,1266.5,1266.5,1266.5,0,3,512744
"2011-08-16",0,1265.25,1265.25,1265.25,0,3,509403
"2011-08-17",0,1281.5,1281.5,1281.5,0,3,506884
"2011-08-18",0,1277,1277,1277,0,3,514514
"2011-08-19",0,1281.75,1281.75,1281.75,0,3,513007
"2011-08-22",0,1286,1286,1286,0,3,513702
"2011-08-23",0,1287.25,1287.25,1287.25,0,3,519524
"2011-08-24",0,1287.25,1287.25,1287.25,0,3,530817
"2011-08-25",0,1293.5,1293.5,1293.5,0,3,537439
"2011-08-26",0,1307,1307,1307,0,3,541105
"2011-08-29",0,1322,1322,1322,0,3,559639
"2011-08-31",0,1337,1337,1337,0,3,579932
"2011-09-01",0,1328,1328,1328,0,3,591491
"2011-09-02",0,1335,1335,1335,0,3,600441
"2011-09-05",0,1335,1335,1335,0,0,0
"2011-09-06",0,1334.5,1334.5,1334.5,0,3,607068
"2011-09-07",0,1342.5,1342.5,1342.5,0,3,598893
"2011-09-08",0,1336.5,1336.5,1336.5,0,3,598300
"2011-09-09",0,1344,1344,1344,0,3,597801
"2011-09-12",0,1320.5,1320.5,1320.5,0,3,606358
"2011-09-14",0,1318.25,1318.25,1318.25,0,3,605003
"2011-09-15",0,1308.5,1308.5,1308.5,0,3,605925
"2011-09-16",0,1305.5,1305.5,1305.5,0,3,597579
"2011-09-19",0,1292.5,1292.5,1292.5,0,3,595197
"2011-09-20",0,1295.25,1295.25,1295.25,0,3,588291
"2011-09-21",0,1282.5,1282.5,1282.5,0,3,584691
"2011-09-23",0,1240.5,1240.5,1240.5,0,3,584569
"2011-09-26",1244,1244,1244,1244,0,3,580182
"2011-09-27",0,1253,1253,1253,2,3,575621
"2011-09-28",0,1243,1243,1243,0,3,574925
"2011-09-29",0,1246,1246,1246,0,3,569910
"2011-09-30",1238,1238,1206,1206,0,3,565600
"2011-10-03",0,1202.75,1202.75,1202.75,1,4,570026
"2011-10-04",0,1190.5,1190.5,1190.5,0,4,569921
"2011-10-05",0,1192.75,1192.75,1192.75,0,4,573568
"2011-10-06",0,1190.75,1190.75,1190.75,0,4,569968
"2011-10-07",0,1183.25,1183.25,1183.25,0,4,573655
"2011-10-10",0,1199.5,1199.5,1199.5,0,4,573552
"2011-10-11",0,1230.75,1230.75,1230.75,0,4,575326
"2011-10-12",0,1235.75,1235.75,1235.75,0,4,570586
"2011-10-13",0,1240.5,1240.5,1240.5,0,4,575158
"2011-10-14",0,1252.25,1252.25,1252.25,0,4,581699
"2011-10-17",0,1234.25,1234.25,1234.25,0,4,580126
"2011-10-18",0,1233.75,1233.75,1233.75,0,4,583788
"2011-10-19",0,1213.75,1213.75,1213.75,0,4,589267
"2011-10-20",0,1217.75,1217.75,1217.75,0,4,590786
"2011-10-21",0,1214.25,1214.25,1214.25,0,4,587227
"2011-10-24",0,1232.25,1232.25,1232.25,0,4,598653
"2011-10-25",0,1234,1234,1234,0,4,556784
"2011-10-26",0,1223.25,1221.75,1221.75,0,4,542925
"2011-10-27",0,1244.75,1244.75,1244.75,0,4,534165
"2011-10-28",0,1231,1231,1231,0,4,529594
"2011-10-31",0,1220.25,1220.25,1220.25,0,4,529623
"2011-11-01",0,1231.25,1231.25,1231.25,0,0,0
"2011-11-02",0,1208.5,1208.5,1208.5,0,4,518804
"2011-11-03",0,1231.25,1231.25,1231.25,0,4,518769
"2011-11-04",0,1224.5,1224.5,1224.5,0,4,517994
"2011-11-07",0,1212.5,1212.5,1212.5,0,3,512242
"2011-11-08",0,1212.5,1212.5,1212.5,0,3,518954
"2011-11-09",0,1199.5,1199.5,1199.5,0,3,515823
"2011-11-10",0,1192.5,1192.5,1192.5,0,3,519381
"2011-11-11",0,1197.5,1197.5,1197.5,0,3,525210
"2011-11-14",0,1198,1198,1198,0,3,526393
"2011-11-15",0,1212.5,1212.5,1212.5,0,0,529055
"2011-11-16",0,1197.5,1197.5,1197.5,0,4,529416
"2011-11-17",0,1182.5,1182.5,1182.5,0,4,524575
"2011-11-18",0,1184.5,1184.5,1184.5,0,4,522937
"2011-11-21",0,1169.5,1169.5,1169.5,0,4,522365
"2011-11-22",0,1179.5,1179.5,1179.5,0,4,524358
"2011-11-23",0,1155,1155,1155,0,4,522610
"2011-11-24",0,1155,1155,1155,0,0,0
"2011-11-25",0,1138,1138,1138,0,4,515736
"2011-11-28",0,1154.5,1154.5,1154.5,0,4,517071
"2011-11-29",0,1160,1160,1160,0,4,517082
"2011-11-30",0,1165.75,1165.75,1165.75,0,4,522757
"2011-12-01",0,1166,1166,1166,0,4,525284
"2011-12-02",0,1173,1173,1173,0,4,527589
"2011-12-05",0,1167.25,1167.25,1167.25,0,4,530593
"2011-12-06",0,1171.75,1171.75,1171.75,0,4,535272
"2011-12-07",0,1171.75,1171.75,1171.75,0,4,541368
"2011-12-08",0,1173,1173,1173,0,4,544895
"2011-12-09",0,1152.5,1152.5,1152.5,0,4,548327
"2011-12-12",0,1154,1154,1154,0,4,559020
"2011-12-13",0,1159,1159,1159,0,4,556510
"2011-12-14",0,1139,1139,1139,0,4,558276
"2011-12-15",0,1147,1147,1147,0,4,553570
"2011-12-16",0,1166.5,1166.5,1166.5,0,4,551493
"2011-12-19",0,1173.5,1173.5,1173.5,0,4,546758
"2011-12-20",0,1181.75,1181.75,1181.75,0,4,545094
"2011-12-21",0,1191.5,1191.5,1191.5,0,4,532221
"2011-12-22",0,1193,1193,1193,0,4,524035
"2011-12-26",0,1193,1193,1193,0,0,0
"2011-12-27",0,1215,1215,1215,0,6,499315
"2011-12-28",0,1212,1212,1212,0,6,480006
"2011-12-29",0,1207.5,1207.5,1207.5,0,6,469947
"2011-12-30",0,1205,1205,1205,0,6,461919
"2012-01-02",0,1205,1205,1205,0,0,0
"2012-01-03",0,1217,1217,1217,0,6,459819
"2012-01-04",0,1216,1216,1216,0,6,460649
"2012-01-05",0,1205.75,1205.75,1205.75,0,6,461549
"2012-01-06",0,1203.5,1203.5,1203.5,0,6,460255
"2012-01-09",0,1220.5,1220.5,1220.5,0,6,460433
"2012-01-10",0,1218.5,1218.5,1218.5,0,6,458618
"2012-01-11",0,1203.5,1203.5,1203.5,0,6,460330
"2012-01-12",0,1193.5,1193.5,1193.5,0,6,466143
"2012-01-13",0,1180,1180,1180,0,6,477013
"2012-01-16",0,1180,1180,1180,0,0,0
"2012-01-17",0,1195,1195,1195,0,6,476936
"2012-01-18",0,1190,1190,1190,0,6,478025
"2012-01-19",0,1197,1197,1197,0,6,480009
"2012-01-20",0,1187,1187,1187,0,6,475999
"2012-01-23",0,1197,1197,1197,0,6,480177
"2012-01-24",0,1205,1205,1205,0,6,476206
"2012-01-25",0,1205.25,1205.25,1205.25,0,6,478304
"2012-01-26",0,1212.25,1212.25,1212.25,0,6,477413
"2012-01-27",0,1210.5,1210.5,1210.5,0,6,478936
"2012-01-30",0,1191.5,1191.5,1191.5,0,6,479421
"2012-01-31",0,1198.5,1198.5,1198.5,0,6,494541
"2012-02-01",0,1212.5,1212.5,1212.5,0,6,500591
"2012-02-02",0,1215.5,1215.5,1215.5,0,6,503856
"2012-02-03",0,1224.5,1224.5,1224.5,0,6,504392
"2012-02-06",0,1221.5,1221.5,1221.5,0,6,504695
"2012-02-07",0,1226.75,1226.75,1226.75,0,6,513079
"2012-02-08",0,1224.5,1224.5,1224.5,0,6,515752
"2012-02-09",0,1222.5,1222.5,1222.5,0,6,518439
"2012-02-10",0,1220,1220,1220,0,6,522051
"2012-02-13",0,1229.5,1229.5,1229.5,0,6,529016
"2012-02-14",0,1219,1219,1219,0,6,542713
"2012-02-15",0,1216.5,1216.5,1216.5,0,6,549098
"2012-02-16",0,1205.5,1205.5,1205.5,0,6,548801
"2012-02-17",0,1208.5,1208.5,1208.5,0,6,544792
"2012-02-20",0,1208.5,1208.5,1208.5,0,0,0
"2012-02-21",0,1216.5,1216.5,1216.5,0,6,548248
"2012-02-22",0,1221,1221,1221,0,6,544141
"2012-02-24",0,1223.75,1223.75,1223.75,0,6,550475
"2012-02-27",0,1230.5,1230.5,1230.5,0,6,538609
"2012-02-28",0,1231.5,1231.5,1231.5,0,6,537651
"2012-02-29",0,1236.5,1236.5,1236.5,0,6,540307
"2012-03-01",0,1239,1239,1239,0,6,548824
"2012-03-02",0,1235.5,1235.5,1235.5,0,6,551997
"2012-03-05",0,1223,1223,1223,0,6,555074
"2012-03-06",0,1225,1225,1225,0,6,558473
"2012-03-07",0,1228.75,1228.75,1228.75,0,6,568713
"2012-03-08",1232,1233.5,1232,1233.5,0,6,567056
"2012-03-09",0,1242,1242,1242,1,6,573366
"2012-03-12",0,1234,1234,1234,0,6,584244
"2012-03-13",0,1238.5,1238.5,1238.5,0,6,588528
"2012-03-14",0,1241.75,1241.75,1241.75,0,6,603316
"2012-03-15",0,1253,1253,1253,0,6,615504
"2012-03-16",0,1255.5,1255.5,1255.5,0,6,628880
"2012-03-19",0,1249.5,1249.5,1249.5,0,6,630683
"2012-03-20",0,1234.5,1234.5,1234.5,0,6,643335
"2012-03-21",0,1242,1242,1242,0,6,640010
"2012-03-22",0,1237,1237,1237,0,6,647054
"2012-03-23",0,1244.5,1244.5,1244.5,0,6,647873
"2012-03-26",0,1247.5,1247.5,1247.5,0,6,661772
"2012-03-27",0,1247.25,1247.25,1247.25,0,6,678977
"2012-03-28",0,1240.5,1240.5,1240.5,0,6,684579
"2012-03-29",0,1227.25,1227.25,1227.25,0,6,687979
"2012-03-30",1252,1252,1251.75,1251.75,0,6,689227
"2012-04-02",0,1265.75,1265.75,1265.75,2,6,720724
"2012-04-03",0,1269.75,1269.75,1269.75,0,6,742059
"2012-04-04",0,1268.25,1268.25,1268.25,0,6,753503
"2012-04-05",0,1266.5,1266.5,1266.5,0,6,768126
"2012-04-09",0,1267.25,1267.25,1267.25,0,6,779218
"2012-04-10",0,1251.25,1251.25,1251.25,0,6,782310
"2012-04-11",0,1248.25,1248.25,1248.25,0,6,786976
"2012-04-12",0,1261.25,1261.25,1261.25,0,6,784896
"2012-04-13",0,1248.75,1248.75,1248.75,0,6,789929
"2012-04-16",0,1244.5,1244.5,1244.5,0,6,796841
"2012-04-17",0,1251.5,1251.5,1251.5,0,6,799006
"2012-04-18",0,1237,1237,1237,0,6,811920
"2012-04-19",0,1243,1243,1243,0,6,811569
"2012-04-20",0,1246.5,1246.5,1246.5,0,6,817841
"2012-04-23",0,1237.75,1237.75,1237.75,0,6,815956
"2012-04-24",0,1241.25,1241.25,1241.25,0,6,811353
"2012-04-25",0,1249.25,1249.25,1249.25,0,6,815824
"2012-04-26",0,1240,1240,1240,0,6,813654
"2012-04-27",0,1241.25,1241.25,1241.25,0,6,800781
"2012-04-30",0,1253.25,1253.25,1253.25,0,6,797618
"2012-05-01",0,1229,1229,1229,0,0,0
"2012-05-02",0,1231,1231,1231,0,6,807123
"2012-05-03",0,1241,1241,1241,0,6,810246
"2012-05-04",0,1241.75,1241.75,1241.75,0,6,807369
"2012-05-07",0,1229,1229,1229,0,6,807314
"2012-05-08",0,1215,1215,1215,0,6,808932
"2012-05-09",1211,1211,1205,1205,0,6,798730
"2012-05-10",0,1212.25,1212.25,1212.25,2,6,790130
"2012-05-11",0,1181.25,1181.25,1181.25,0,6,795633
"2012-05-14",0,1163.75,1163.75,1163.75,0,6,788484
"2012-05-15",0,1176.25,1176.25,1176.25,0,6,788762
"2012-05-16",0,1170.25,1170.25,1170.25,0,6,790835
"2012-05-17",0,1174.5,1174.5,1174.5,0,6,791260
"2012-05-18",0,1165.25,1165.25,1165.25,0,6,781683
"2012-05-21",0,1185.25,1185.25,1185.25,0,6,778132
"2012-05-22",0,1172,1172,1172,0,6,775614
"2012-05-23",0,1153.5,1153.5,1153.5,0,6,776789
"2012-05-24",0,1173.25,1173.25,1173.25,0,6,775931
"2012-05-25",0,1178,1178,1178,0,6,774218
"2012-05-28",0,1178,1178,1178,0,0,0
"2012-05-29",0,1182.5,1182.5,1182.5,0,6,774281
"2012-05-30",0,1183.5,1183.5,1183.5,0,6,773982
"2012-05-31",0,1170.5,1170.5,1170.5,0,6,770865
"2012-06-01",0,1161.5,1161.5,1161.5,0,6,767786
"2012-06-04",0,1172.25,1172.25,1172.25,0,6,760602
"2012-06-05",0,1181.25,1181.25,1181.25,0,6,763614
"2012-06-06",0,1191.25,1191.25,1191.25,0,6,762748
"2012-06-07",0,1222.25,1222.25,1222.25,0,6,769403
"2012-06-08",1207.75,1212,1207.75,1212,0,6,762933
"2012-06-11",0,1208.75,1208.75,1208.75,2,6,762733
"2012-06-12",0,1208,1208,1208,0,6,762415
"2012-06-13",0,1198.75,1198.75,1198.75,0,6,771727
"2012-06-14",0,1190.75,1190.75,1190.75,0,6,775649
"2012-06-15",0,1196,1196,1196,0,6,775116
